Response_ID,Employee_ID,Submission_Date,Department,Q1_Job_Satisfaction,Q2_Work_Life_Balance,Q3_Manager_Support,Q4_Growth_Opportunities,Q5_eNPS,Comments
071,EMP021,2024-04-20,IT,3,4,3,3,6,"We need better infrastructure tools."
072,EMP022,2024-04-20,Sales,2,3,1,2,3,"Leadership is blaming us for the tech issues."
073,EMP023,2024-04-21,Marketing,5,4,5,5,10,"Best place ever!"
074,EMP024,2024-04-21,HR,3,2,3,3,5,"Traveling for sales is exhausting."
075,EMP025,2024-04-22,Finance,4,4,5,4,9,""
076,EMP026,2024-04-22,Product,4,5,4,4,8,"Hoping Q3 will be better."
077,EMP027,2024-04-23,Sales,2,2,3,2,4,"Angry customers everyday."
078,EMP028,2024-04-23,Customer Support,4,5,4,3,8,"Good."
079,EMP029,2024-04-24,HR,5,4,5,5,9,""
080,EMP030,2024-04-24,Finance,1,2,1,1,1,"Toxic workplace culture."
081,EMP031,2024-04-25,IT,4,3,4,3,7,"Banyak sangat ad-hoc request dari user."
082,EMP032,2024-04-25,Sales,3,3,3,3,6,"Misalignment between product and sales."
083,EMP033,2024-04-26,Marketing,3,3,3,3,6,""
084,EMP034,2024-04-26,HR,5,5,5,5,10,"Open house Raya was a success."
085,EMP035,2024-04-27,Finance,3,2,3,3,5,"Susah nak catch up."
086,EMP036,2024-04-27,Product,2,3,2,2,4,"Overworked and underpaid."
087,EMP037,2024-04-28,Sales,4,3,4,4,7,"Projects are interesting."
088,EMP038,2024-04-28,Marketing,5,5,4,4,9,"WFH is a lifesaver."
089,EMP039,2024-04-29,Customer Support,3,2,3,3,5,"Petrol allowance tak cover mileage sebenar."
090,EMP040,2024-04-29,Finance,3,3,2,3,5,"Unclear requirements."
091,EMP041,2024-04-30,IT,5,4,5,4,9,"Learning a lot from the seniors."
092,EMP042,2024-04-30,Sales,1,1,2,1,2,"Mental health koyak."
093,EMP043,2024-05-01,Marketing,5,5,5,5,10,""
094,EMP044,2024-05-01,HR,3,3,4,3,7,"Okay."
095,EMP045,2024-05-02,Finance,3,2,3,2,5,"Sales pressure is too much this quarter."
096,EMP046,2024-05-02,Product,5,5,5,4,10,"Still the best company."
097,EMP047,2024-05-03,Sales,4,4,4,4,8,""
098,EMP048,2024-05-03,Customer Support,2,2,2,3,4,"Slow decision making."
099,EMP049,2024-05-04,HR,4,3,5,3,7,"Manager helps a lot with angry customers."
100,EMP050,2024-05-04,Finance,4,3,4,4,8,"Hoping Q3 market picks up."
101,EMP001,2024-07-15,IT,4,2,4,4,7,"Mid-year review was fair, but targets naik lagi."
102,EMP002,2024-07-15,Sales,5,5,5,5,10,"New laptops arrived! Laju gila buat kerja."
103,EMP003,2024-07-16,Marketing,3,3,3,2,6,"Need more creative freedom."
104,EMP004,2024-07-16,HR,3,3,4,2,6,"System dah stable sikit, work is bearable now."
105,EMP005,2024-07-17,Finance,4,4,5,4,9,"Company trip ke Bali was awesome!"
106,EMP006,2024-07-17,Product,5,4,4,5,9,"Q3 roadmap looks solid."
107,EMP007,2024-07-18,Customer Support,4,3,5,4,8,"Getting better at closing deals."
108,EMP008,2024-07-18,Marketing,4,4,4,4,8,"Infrastructure upgrade was necessary."
109,EMP009,2024-07-19,HR,4,5,4,3,8,"Consistent as always."
110,EMP010,2024-07-19,Finance,2,2,2,2,4,"Still feeling burned out."
111,EMP011,2024-07-20,IT,5,5,5,5,10,""
112,EMP012,2024-07-20,Sales,3,3,4,2,6,"Workload okay sikit compared to Q2."
113,EMP013,2024-07-21,Marketing,3,2,3,3,6,"Susah nak cari new leads."
114,EMP014,2024-07-21,HR,5,4,5,5,10,"Confident with the team."
115,EMP015,2024-07-22,Finance,4,5,4,3,8,"Wellness week program was good."
116,EMP016,2024-07-22,Product,5,5,5,5,10,"First time join townhall, transparent leadership."
117,EMP017,2024-07-23,Sales,3,3,3,3,6,"Okay."
118,EMP018,2024-07-23,Customer Support,4,4,5,2,8,"Colleagues are family."
119,EMP019,2024-07-24,HR,2,2,3,2,3,"Masih trauma dengan incident Q2 hari tu."
120,EMP020,2024-07-24,Finance,4,3,4,4,8,"Improving."
121,EMP021,2024-07-25,IT,5,5,4,4,9,"New tech stack is interesting."
122,EMP022,2024-07-25,Sales,3,3,2,3,5,"Communication is improving."
123,EMP023,2024-07-26,Marketing,5,4,5,5,10,"Loving it here!"
124,EMP024,2024-07-26,HR,3,2,3,3,5,"Too much admin work, less selling."
125,EMP025,2024-07-27,Finance,4,4,5,4,9,""
126,EMP026,2024-07-27,Product,5,5,5,5,10,"Hackathon winner!"
127,EMP027,2024-07-28,Sales,3,3,4,2,5,"Better tools now."
128,EMP028,2024-07-28,Customer Support,4,5,4,3,8,"Work life balance."
129,EMP029,2024-07-29,HR,5,4,5,5,9,""
130,EMP030,2024-07-29,Finance,1,2,1,1,2,"Toxic environment persists."
131,EMP031,2024-07-30,IT,4,4,4,3,8,"Happy with the new server upgrade."
132,EMP032,2024-07-30,Sales,3,3,3,3,6,"Feeling neutral."
133,EMP033,2024-07-31,Marketing,4,3,4,4,7,""
134,EMP034,2024-07-31,HR,5,5,5,5,10,"Recruitment drive is going well."
135,EMP035,2024-08-01,Finance,4,3,4,3,7,"Learning fast."
136,EMP036,2024-08-01,Product,3,4,3,2,5,"Salary adjustment needed."
137,EMP037,2024-08-02,Sales,4,4,5,4,8,"Collaborative team."
138,EMP038,2024-08-02,Marketing,5,5,4,4,9,"Flexible working hours."
139,EMP039,2024-08-03,Customer Support,3,3,3,3,6,"Sales slow."
140,EMP040,2024-08-03,Finance,4,4,3,4,7,"Getting better."
141,EMP041,2024-08-04,IT,5,4,5,5,9,"Banyak ilmu baru."
142,EMP042,2024-08-04,Sales,3,2,3,2,5,"Better than Q2 but still tiring."
143,EMP043,2024-08-05,Marketing,5,5,5,5,10,""
144,EMP044,2024-08-05,HR,4,4,4,4,8,"Excited for Merdeka campaign."
145,EMP045,2024-08-06,Finance,3,3,3,2,6,"Process bureaucracy."
146,EMP046,2024-08-06,Product,5,5,5,5,10,"Steady ship."
147,EMP047,2024-08-07,Sales,4,4,4,4,8,""
148,EMP048,2024-08-07,Customer Support,3,3,3,3,5,"Changes always happen last minute."
149,EMP049,2024-08-08,HR,4,4,5,3,8,"Supportive peers."
150,EMP050,2024-08-08,Finance,5,4,4,5,9,"Momentum is building up."
151,EMP001,2024-10-14,IT,4,2,4,4,7,"Chasing year-end target. Stress but semangat."
152,EMP002,2024-10-14,Sales,5,5,5,5,10,"Tahun depan nak minta naik gaji."
153,EMP003,2024-10-15,Marketing,3,3,3,2,6,"Routine work. Nothing new."
154,EMP004,2024-10-15,HR,2,2,3,2,4,"Year end sale volume is killing us."
155,EMP005,2024-10-16,Finance,5,4,5,4,9,"Planning annual dinner, busy but fun!"
156,EMP006,2024-10-16,Product,5,4,5,5,9,"Wrapping up features for the year."
157,EMP007,2024-10-17,Customer Support,5,4,5,5,10,"Looking forward to my first bonus."
158,EMP008,2024-10-17,Marketing,4,4,4,3,7,"Maintenance mode on."
159,EMP009,2024-10-18,HR,4,5,4,3,8,"Preparing for next year budget."
160,EMP010,2024-10-18,Finance,2,1,2,2,3,"Cuti kena freeze sebab peak season. Sedih."
161,EMP011,2024-10-19,IT,5,5,5,5,10,""
162,EMP012,2024-10-19,Sales,2,2,3,2,4,"Customers are extra rude during sales season."
163,EMP013,2024-10-20,Marketing,4,2,3,4,7,"Need final push for numbers."
164,EMP014,2024-10-20,HR,5,4,5,5,10,"Happy with my performance this year."
165,EMP015,2024-10-21,Finance,4,5,4,3,8,""
166,EMP016,2024-10-21,Product,5,5,5,5,10,"Probation passed! Official staff now."
167,EMP017,2024-10-22,Sales,3,3,3,3,6,"Dah start rasa burnout hujung tahun."
168,EMP018,2024-10-22,Customer Support,4,4,5,2,7,"Bonus bila masuk?"
169,EMP019,2024-10-23,HR,1,1,2,1,2,"I need a long holiday."
170,EMP020,2024-10-23,Finance,5,4,4,5,9,"Office vibe is festive."
171,EMP021,2024-10-24,IT,4,5,4,4,8,"Hoping for good variable bonus."
172,EMP022,2024-10-24,Sales,2,3,2,2,4,"Goals for next year are unclear."
173,EMP023,2024-10-25,Marketing,5,4,5,5,10,"Love the year end party prep."
174,EMP024,2024-10-25,HR,3,2,3,3,5,"Tired."
175,EMP025,2024-10-26,Finance,4,4,5,4,9,""
176,EMP026,2024-10-26,Product,5,5,5,5,10,"Great year overall."
177,EMP027,2024-10-27,Sales,2,2,3,2,4,"Too many tickets."
178,EMP028,2024-10-27,Customer Support,4,5,4,3,8,"Steady."
179,EMP029,2024-10-28,HR,5,4,5,5,9,""
180,EMP030,2024-10-28,Finance,1,2,1,1,2,"Can't wait to leave this team."
181,EMP031,2024-10-29,IT,4,4,4,3,7,"Company is stable."
182,EMP032,2024-10-29,Sales,3,3,3,3,6,"Hoping for promotion next year."
183,EMP033,2024-10-30,Marketing,4,3,4,4,8,""
184,EMP034,2024-10-30,HR,5,5,5,5,10,"Diversity goals met."
185,EMP035,2024-10-31,Finance,3,3,3,3,6,"Surviving the peak season."
186,EMP036,2024-10-31,Product,2,4,2,2,4,"Market rate is higher outside."
187,EMP037,2024-11-01,Sales,4,4,5,4,8,"Finished big project. Lega rasa."
188,EMP038,2024-11-01,Marketing,5,5,4,4,9,"Clearing leave balance."
189,EMP039,2024-11-02,Customer Support,3,2,3,3,5,"Economy outlook next year seems bleak."
190,EMP040,2024-11-02,Finance,4,4,3,4,7,"Okay."
191,EMP041,2024-11-03,IT,5,4,5,5,9,"Suka culture sini."
192,EMP042,2024-11-03,Sales,2,1,3,1,3,"Exhausted. Need break."
193,EMP043,2024-11-04,Marketing,5,5,5,5,10,""
194,EMP044,2024-11-04,HR,4,3,4,4,8,"Ready for 2025."
195,EMP045,2024-11-05,Finance,3,3,3,2,6,"Company dah tak macam dulu."
196,EMP046,2024-11-05,Product,5,5,5,4,10,"Happy employee here."
197,EMP047,2024-11-06,Sales,4,4,4,4,8,""
198,EMP048,2024-11-06,Customer Support,2,2,2,3,4,"Too much red tape."
199,EMP049,2024-11-07,HR,4,3,5,3,8,"Team lunch was nice."
200,EMP050,2024-11-07,Finance,5,4,4,5,9,"Ending the year strong!"
